Rank,23 Food Industry Residues & Waste; Prep Animal Feed,39 Plastics And Articles Thereof,40 Rubber And Articles Thereof,"46 Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",47 Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd,"51 Wool & Animal Hair, Including Yarn & Woven Fabric","52 Cotton, Including Yarn And Woven Fabric Thereof",53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,"54 Manmade Filaments, Including Yarns & Woven Fabrics",57 Carpets And Other Textile Floor Coverings,59 Impregnated Etc Text Fabrics; Tex Art For Industry,60 Knitted Or Crocheted Fabrics,69 Ceramic Products,86 Railway Or Tramway Stock Etc; Traffic Signal Equip,"87 Vehicles, Except Railway Or Tramway, And Parts Etc","88 Aircraft, Spacecraft, And Parts Thereof"
1,Georgia,South Carolina,South Carolina,New Jersey,Georgia,North Carolina,Georgia,North Carolina,North Carolina,Georgia,North Carolina,North Carolina,New York,Pennsylvania,South Carolina,Florida
2,Virginia,Pennsylvania,Pennsylvania,South Carolina,North Carolina,New York,North Carolina,South Carolina,Virginia,South Carolina,Pennsylvania,South Carolina,Virginia,South Carolina,Georgia,Georgia
3,South Carolina,Georgia,Georgia,New York,South Carolina,South Carolina,South Carolina,New York,South Carolina,Florida,South Carolina,Florida,South Carolina,Florida,Florida,South Carolina
4,New York,Virginia,Florida,Georgia,Virginia,Rhode Island,Virginia,Georgia,Georgia,North Carolina,Georgia,Pennsylvania,Massachusetts,New York,New York,Connecticut
5,New Jersey,Florida,North Carolina,Florida,New York,Maryland,Florida,Florida,Florida,Pennsylvania,Massachusetts,Georgia,Pennsylvania,North Carolina,New Jersey,Maryland
6,Pennsylvania,New York,New York,Massachusetts,Florida,Connecticut,New York,Virginia,New York,New Jersey,Maryland,Virginia,North Carolina,New Jersey,Pennsylvania,New York
7,North Carolina,New Jersey,New Jersey,Pennsylvania,New Jersey,Florida,Massachusetts,Connecticut,Vermont,New York,New York,Rhode Island,Florida,Georgia,Virginia,North Carolina
8,Florida,North Carolina,Virginia,Maryland,Massachusetts,New Jersey,New Jersey,Pennsylvania,Connecticut,Maryland,Florida,New York,New Jersey,Connecticut,North Carolina,New Hampshire
9,Maryland,Massachusetts,Massachusetts,Delaware,Maine,Massachusetts,Delaware,New Jersey,New Hampshire,Maine,New Jersey,New Jersey,Georgia,Massachusetts,Maryland,Pennsylvania
10,Connecticut,West Virginia,Connecticut,Virginia,Maryland,Georgia,Pennsylvania,Maryland,New Jersey,Virginia,Connecticut,Massachusetts,Connecticut,New Hampshire,Connecticut,Virginia
11,Vermont,Delaware,West Virginia,North Carolina,Connecticut,Pennsylvania,Rhode Island,New Hampshire,Pennsylvania,Massachusetts,Delaware,Vermont,West Virginia,Virginia,Massachusetts,New Jersey
12,Massachusetts,Connecticut,Delaware,Connecticut,Pennsylvania,Virginia,Connecticut,Massachusetts,Maryland,New Hampshire,New Hampshire,New Hampshire,Maryland,Maryland,Delaware,Massachusetts
13,Delaware,Maryland,New Hampshire,West Virginia,Delaware,Maine,New Hampshire,Rhode Island,Delaware,Connecticut,Virginia,Connecticut,Rhode Island,West Virginia,Rhode Island,Maine
14,Maine,New Hampshire,Maryland,Maine,New Hampshire,New Hampshire,Maryland,Delaware,Rhode Island,Rhode Island,Maine,Delaware,Delaware,Maine,West Virginia,West Virginia
15,West Virginia,Rhode Island,Vermont,New Hampshire,West Virginia,Vermont,Maine,Vermont,Massachusetts,Delaware,Rhode Island,Maryland,New Hampshire,Delaware,Maine,Delaware
16,New Hampshire,Maine,Rhode Island,Rhode Island,Vermont,Delaware,Vermont,Maine,West Virginia,West Virginia,Vermont,Maine,Maine,Vermont,New Hampshire,Vermont
17,Rhode Island,Vermont,Maine,Vermont,Rhode Island,West Virginia,West Virginia,West Virginia,Maine,Vermont,West Virginia,West Virginia,Vermont,Rhode Island,Vermont,Rhode Island
