Rank,40 Rubber And Articles Thereof,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,57 Carpets And Other Textile Floor Coverings,60 Knitted Or Crocheted Fabrics,"87 Vehicles, Except Railway Or Tramway, And Parts Etc"
1,Texas,North Carolina,Georgia,California,Michigan
2,South Carolina,California,South Carolina,North Carolina,South Carolina
3,Illinois,South Carolina,Texas,South Carolina,Alabama
4,Ohio,Oregon,Michigan,Texas,Texas
5,Louisiana,New York,California,Tennessee,Indiana
6,California,Georgia,Alabama,Florida,Illinois
7,Tennessee,Ohio,Washington,Pennsylvania,Ohio
8,Oregon,Florida,Florida,Michigan,California
9,Michigan,Virginia,North Carolina,Georgia,Kentucky
10,Pennsylvania,Texas,Pennsylvania,Virginia,Oregon
11,Georgia,Wisconsin,New Jersey,Rhode Island,Missouri
12,Indiana,Connecticut,Ohio,Mississippi,Tennessee
13,Kentucky,Illinois,New York,New York,Georgia
14,Florida,Michigan,Maryland,Arizona,Florida
15,North Carolina,Arizona,Maine,Ohio,New York
16,Kansas,Pennsylvania,Tennessee,Kentucky,Iowa
17,New York,Oklahoma,Virginia,Wisconsin,Minnesota
18,Wisconsin,New Jersey,Illinois,Iowa,New Jersey
19,New Jersey,Washington,Kentucky,Alabama,Pennsylvania
20,Missouri,Louisiana,Wisconsin,New Jersey,Wisconsin
21,Iowa,Kentucky,Kansas,Indiana,Virginia
22,Alabama,Maryland,Arizona,Utah,North Carolina
23,Minnesota,Colorado,Arkansas,Massachusetts,Washington
24,Arizona,New Hampshire,Massachusetts,Louisiana,Maryland
25,Virginia,Indiana,Colorado,Vermont,Arizona
26,Colorado,Kansas,New Hampshire,Illinois,Mississippi
27,Arkansas,Iowa,Indiana,Minnesota,North Dakota
28,Oklahoma,Alabama,Connecticut,New Hampshire,Kansas
29,Massachusetts,Missouri,Nevada,Oklahoma,Utah
30,Connecticut,Massachusetts,Minnesota,Kansas,Oklahoma
31,West Virginia,Montana,Utah,Oregon,Arkansas
32,Washington,Minnesota,Oregon,Washington,Nebraska
33,Mississippi,North Dakota,Missouri,Connecticut,Connecticut
34,North Dakota,Idaho,Rhode Island,Missouri,Colorado
35,Delaware,Nevada,Mississippi,Delaware,Massachusetts
36,New Hampshire,Utah,Delaware,Nevada,Montana
37,Nebraska,Rhode Island,Louisiana,Colorado,South Dakota
38,Maryland,Delaware,Hawaii,Maryland,Delaware
39,Utah,Vermont,Montana,Alaska,Rhode Island
40,Nevada,Alaska,Oklahoma,Arkansas,Louisiana
41,Vermont,Arkansas,Nebraska,Maine,Nevada
42,New Mexico,Hawaii,Iowa,Idaho,West Virginia
43,Rhode Island,Maine,North Dakota,Nebraska,Idaho
44,South Dakota,Mississippi,West Virginia,West Virginia,Maine
45,Maine,Nebraska,Idaho,New Mexico,New Mexico
46,Idaho,New Mexico,South Dakota,Hawaii,New Hampshire
47,Montana,South Dakota,Vermont,Montana,Vermont
48,Hawaii,Tennessee,Alaska,North Dakota,Alaska
49,Alaska,West Virginia,New Mexico,South Dakota,Hawaii
50,,,,,
